health,power,bearing,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
1000,1000,180.66421508789062,9.0,30.0,-1054.0,-0.9999328851699829,0.0,0.011592281050980091,0.0,0.0,1.0,0.0,0.0,-0.011592281050980091,0.0,-0.9999328851699829,0.0
1000,1000,180.89402770996094,9.0,29.975475311279297,-1054.0,-0.9998781681060791,-6.178497991005116e-11,0.015603061765432358,0.0,-9.913793397320347e-11,1.0,-2.393176767867544e-09,0.0,-0.015603061765432358,-2.3944322080637903e-09,-0.9998781681060791,0.0
1000,1000,180.94598388671875,9.0,29.92667007446289,-1054.0,-0.9998636245727539,1.2062052689998382e-08,0.01650969125330448,0.0,1.1983846803786946e-08,1.0,-4.835917444268034e-09,0.0,-0.01650969125330448,-4.6374086792866365e-09,-0.9998636245727539,0.0
1000,1000,180.88540649414062,9.0,29.85382843017578,-1054.0,-0.9998805522918701,2.820507383205495e-08,0.015452777035534382,0.0,2.8114461869677143e-08,1.0,-6.081092518428477e-09,0.0,-0.015452777035534382,-5.645919731733784e-09,-0.9998805522918701,0.0
1000,1000,180.82540893554688,9.0,29.757190704345703,-1054.0,-0.9998962879180908,3.3334917048932766e-08,0.014405532740056515,0.0,3.3234659468917016e-08,1.0,-7.199253637679703e-09,0.0,-0.014405532740056515,-6.719743872452e-09,-0.9998962879180908,0.0
1000,1000,180.76626586914062,9.0,29.636993408203125,-1054.0,-0.9999105930328369,4.352446225652784e-08,0.013373342342674732,0.0,4.341744741509501e-08,1.0,-8.292675879317812e-09,0.0,-0.013373342342674732,-7.711297378421023e-09,-0.9999105930328369,0.0
1000,1000,180.70733642578125,9.0,29.493473052978516,-1054.0,-0.9999239444732666,5.370362643475346e-08,0.01234483066946268,0.0,5.359287413853053e-08,1.0,-9.302381087650247e-09,0.0,-0.01234483066946268,-8.6400770982209e-09,-0.9999239444732666,0.0
1000,1000,180.6487274169922,9.0,29.326862335205078,-1054.0,-0.9999361038208008,5.80039127839882e-08,0.011322228237986565,0.0,5.788901091818843e-08,1.0,-1.0476357559241478e-08,0.0,-0.011322228237986565,-9.820253055181638e-09,-0.9999361038208008,0.0
1000,1000,180.59046936035156,9.0,29.137393951416016,-1054.0,-0.9999470710754395,7.740334240224911e-08,0.01030536275357008,0.0,7.728687023700331e-08,1.0,-1.1699786028884773e-08,0.0,-0.01030536275357008,-1.0902695635195414e-08,-0.9999470710754395,0.0
1000,1000,180.53256225585938,9.0,28.925294876098633,-1054.0,-0.9999570846557617,1.0655787718860665e-07,0.009294905699789524,0.0,1.0644225767464377e-07,1.0,-1.293348805830874e-08,0.0,-0.009294905699789524,-1.1943558142490929e-08,-0.9999570846557617,0.0
